,City,Country,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longitude,Date
0,Longyearbyen,NO,35.6,69,75,17.22,78.22,15.63,1559264062
1,Saint George,GR,64.4,59,40,4.94,39.45,22.34,1559264063
2,Cabo San Lucas,MX,84.99,60,5,16.11,22.89,-109.91,1559264007
3,Cidreira,BR,62.72,76,100,19.98,-30.17,-50.22,1559264063
4,Souillac,FR,57.99,87,0,1.12,45.6,-0.6,1559264064
5,Sarakhs,TM,75.14,39,40,11.39,36.54,61.16,1559264064
6,Ostrovnoy,RU,46.34,56,1,14.43,68.05,39.51,1559264064
7,Gizo,IL,75.99,88,0,5.82,31.8,34.94,1559264065
8,Tessalit,ML,92.06,7,0,9.48,20.2,1.01,1559264065
9,Axim,GH,78.56,84,100,8.21,4.87,-2.24,1559264065
10,Dikson,RU,31.76,91,69,22.35,73.51,80.55,1559263858
11,Salaga,GH,80.72,77,83,8.63,8.55,-0.52,1559264066
12,Santiago del Estero,AR,56.78,84,0,0.56,-27.8,-64.26,1559263830
13,New Norfolk,AU,55.0,66,75,13.87,-42.78,147.06,1559264066
14,Torbay,CA,37.0,100,90,5.82,47.66,-52.73,1559263967
15,Thompson,CA,42.8,60,90,6.93,55.74,-97.86,1559263750
16,Huangmei,CN,70.1,72,2,2.28,30.1,115.95,1559264067
17,Maceio,BR,75.2,88,75,3.36,-9.67,-35.74,1559263964
18,Nanortalik,GL,38.42,70,0,2.93,60.14,-45.24,1559264067
19,Laguna,MX,91.4,27,5,13.87,27.52,-110.01,1559264067
20,Komsomolskiy,RU,21.86,95,13,5.14,67.55,63.78,1559264068
21,Ribeira Grande,PT,65.96,93,74,8.86,38.52,-28.7,1559263869
22,Santa Marta,CO,84.2,74,40,6.93,11.24,-74.21,1559263896
23,Carnarvon,ZA,57.32,30,55,7.43,-30.97,22.13,1559264069
24,Sagamihara,JP,77.0,60,75,8.05,35.57,139.24,1559264069
25,Mataura,NZ,48.0,91,75,3.94,-46.19,168.86,1559264069
26,Castro,CL,50.0,100,90,17.22,-42.48,-73.76,1559263852
27,Atuona,PF,83.42,75,12,17.11,-9.8,-139.03,1559263853
28,Senneterre,CA,46.4,65,40,10.29,48.39,-77.24,1559264070
29,Lompoc,US,73.0,77,75,12.75,34.64,-120.46,1559263785
30,Coquimbo,CL,59.0,87,0,4.7,-29.95,-71.34,1559264070
31,Altamont,CA,89.6,19,1,18.34,49.4,-98.5,1559264071
32,Norman Wells,CA,51.8,62,75,2.24,65.28,-126.83,1559264071
33,Punta Arenas,CL,26.6,100,40,3.36,-53.16,-70.91,1559263846
34,Hilo,US,80.6,65,90,8.05,19.71,-155.08,1559264072
35,San Policarpo,PH,85.76,71,84,7.27,12.18,125.51,1559264072
36,Tuatapere,NZ,48.0,91,82,12.48,-46.13,167.69,1559264072
37,Yellowknife,CA,44.6,56,40,8.05,62.45,-114.38,1559263866
38,Saint-Louis,CH,55.99,81,0,2.24,47.59,7.56,1559264073
39,Ruwi,OM,89.6,24,0,4.09,23.6,58.55,1559264073
40,Leningradskiy,RU,32.48,98,76,4.74,69.38,178.42,1559263856
41,Natal,BR,77.0,88,75,4.7,-5.81,-35.21,1559264074
42,Rikitea,PF,77.48,83,25,15.75,-23.12,-134.97,1559263786
43,Bluff,AU,61.28,28,83,18.32,-23.58,149.07,1559263865
44,Hithadhoo,MV,82.88,77,100,19.55,-0.6,73.08,1559264074
45,Vaini,IN,75.2,88,20,5.82,15.34,74.49,1559263850
46,Cape Town,ZA,57.99,100,1,1.12,-33.93,18.42,1559264075
47,Jamestown,AU,50.12,82,1,4.03,-33.21,138.6,1559263843
48,Tiksi,RU,32.84,95,82,6.38,71.64,128.87,1559263857
49,Mount Gambier,AU,53.6,93,90,12.75,-37.83,140.78,1559263863
